,Name,Platform,Year_of_Release,Critic_Score,User_Score,Rating
102,Green Lantern: Rise of the Manhunters,3DS,2011,42,3.6,T
103,Conception II: Children of the Seven Stars,3DS,2014,62,7.7,M
104,Deca Sports Extreme,3DS,2011,52,0.0,E
105,Spider-Man: Edge of Time,3DS,2011,50,6.1,T
106,Disney Art Academy,3DS,2016,72,7.0,E
107,Pocket Soccer League: Calciobit,3DS,2012,65,7.9,
108,DualPenSports,3DS,2011,58,2.1,E10+
109,BlazBlue: Continuum Shift II,3DS,2011,64,6.6,T
110,Scribblenauts Unmasked: A DC Comics Adventure,3DS,2013,68,6.4,E10+
111,Pinball Hall of Fame: The Williams Collection,3DS,2011,67,7.3,E10+
112,Marvel Super Hero Squad: The Infinity Gauntlet,3DS,2011,54,0.0,E10+
113,Thor: God of Thunder,3DS,2011,55,4.2,T
114,Cubic Ninja,3DS,2011,51,5.9,E
115,Brain Age: Concentration Training,3DS,2013,69,7.2,E
116,Driver: Renegade,3DS,2011,48,5.3,M
117,Pokemon Rumble World,3DS,2015,58,6.1,E10+
118,Mahjong Cub3D,3DS,2011,67,5.3,E
119,Terraria,3DS,2015,71,7.3,T
120,Nano Assault,3DS,2011,75,7.6,E10+
121,Captain America: Super Soldier,3DS,2011,51,6.5,T
122,Puzzler Mind Gym 3D,3DS,2011,51,0.0,E
123,Pac-Man and the Ghostly Adventures 2,3DS,2014,60,7.0,E10+
124,Samurai Warriors Chronicles 3,3DS,2015,63,7.2,T
125,Zero Escape: Zero Time Dilemma,3DS,2016,81,8.4,M
126,Dream Trigger 3D,3DS,2011,54,6.4,E
127,Culdcept Revolt,3DS,2017,74,7.6,T
128,Lord of Magna: Maiden Heaven,3DS,2015,68,7.5,T
129,Metroid Prime: Federation Force,3DS,2016,64,5.4,T
130,LEGO Friends,3DS,2013,43,7.2,E
131,Gravity Falls: Legend of the Gnome Gemulets,3DS,2015,46,6.8,E
132,Rodea the Sky Soldier,3DS,2015,45,5.7,E10+
133,Beyblade Evolution,3DS,2013,49,5.3,E
134,Pro Evolution Soccer 2012,3DS,2012,73,7.3,E
135,Harvest Moon: Skytree Village,3DS,2016,59,5.9,E
136,Phoenix Wright: Ace Attorney Trilogy,3DS,2014,81,8.6,T
137,Tenkai Knights: Brave Battle,3DS,2014,26,2.8,E10+
138,Azure Striker Gunvolt,3DS,2014,77,8.1,E10+
139,Cartoon Network Battle Crashers,3DS,2016,21,2.3,E10+
