,Name,Platform,Year_of_Release,Critic_Score,User_Score,Rating
103,Need for Speed Carbon,GameCube,2006,75,8.1,E10+
104,NFL Street,GameCube,2004,81,0.0,E
105,WWE Day of Reckoning 2,GameCube,2005,76,7.9,T
106,WWE Wrestlemania XIX,GameCube,2003,76,8.2,T
107,The Sims 2,GameCube,2005,73,7.7,T
108,Tak 2: The Staff of Dreams,GameCube,2004,75,8.7,E
109,Call Of Duty 2: Big Red One,GameCube,2005,76,6.9,T
110,MVP Baseball 2005,GameCube,2005,88,5.6,E
111,Teen Titans,GameCube,2006,63,6.9,E10+
112,NBA Live 06,GameCube,2005,76,0.0,E
113,Prince of Persia: The Sands of Time,GameCube,2003,92,7.9,T
114,NASCAR Thunder 2003,GameCube,2002,85,0.0,E
115,NBA Live 2003,GameCube,2002,82,0.0,E
116,Shark Tale,GameCube,2004,69,3.6,E
117,NBA Street V3,GameCube,2005,88,0.0,E
118,The Lord of the Rings: The Third Age,GameCube,2004,74,8.0,T
119,ATV Quad Power Racing 2,GameCube,2003,70,7.1,E
120,Pac-Man Fever,GameCube,2002,54,6.9,E
121,Dave Mirra Freestyle BMX 2,GameCube,2001,78,0.0,T
122,Dragon Ball Z: Budokai 2,GameCube,2004,66,7.9,T
123,Baten Kaitos: Eternal Wings and the Lost Ocean,GameCube,2004,80,8.2,T
124,Ty the Tasmanian Tiger,GameCube,2002,69,7.9,E
125,NBA Live 2004,GameCube,2003,84,0.0,E
126,The Sims 2: Pets,GameCube,2006,66,0.0,T
127,Star Wars: Bounty Hunter,GameCube,2002,67,8.1,T
128,Batman: Vengeance,GameCube,2001,70,7.1,T
129,Crash Nitro Kart,GameCube,2003,66,7.8,E
130,MVP Baseball 2004,GameCube,2004,89,2.7,E
131,Bomberman Generation,GameCube,2002,81,8.5,E
132,Medal of Honor European Assault,GameCube,2005,71,6.9,T
133,Billy Hatcher and the Giant Egg,GameCube,2003,71,7.7,E
134,Def Jam Vendetta,GameCube,2003,81,7.8,T
135,X-Men Legends II: Rise of Apocalypse,GameCube,2005,82,8.2,T
136,NBA Courtside 2002,GameCube,2002,71,0.0,E
137,Harvest Moon: Magical Melody,GameCube,2006,83,7.8,E
138,The Simpsons: Road Rage,GameCube,2001,67,8.2,T
139,Harvest Moon: Another Wonderful Life,GameCube,2005,70,5.8,E
140,Fantastic 4,GameCube,2005,61,8.0,T
141,Star Wars Jedi Knight II: Jedi Outcast,GameCube,2002,75,8.5,T
142,Rocket Power: Beach Bandits,GameCube,2002,53,9.5,E
143,Tiger Woods PGA Tour 2003,GameCube,2002,90,0.0,E
144,NCAA Football 2005,GameCube,2004,88,6.9,E
145,Tetris Worlds,GameCube,2002,47,5.7,E
146,Viewtiful Joe 2,GameCube,2004,86,7.5,T
147,All-Star Baseball 2002,GameCube,2001,66,8.0,E
148,From Russia With Love,GameCube,2005,70,7.8,T
149,NFL 2K3,GameCube,2002,92,6.1,E
150,Shrek SuperSlam,GameCube,2005,70,5.9,E10+
151,Namco Museum: 50th Anniversary,GameCube,2005,60,0.0,E10+
