,Name,Platform,Year_of_Release,Critic_Score,User_Score,Rating
91,Fossil Fighters,DS,2009,70,8.2,E
92,Sonic Chronicles: The Dark Brotherhood,DS,2008,74,6.4,E
93,Star Wars: The Force Unleashed,DS,2008,61,6.1,T
94,FIFA Soccer 08,DS,2007,77,5.0,E
95,The Legendary Starfy,DS,2009,75,8.1,E
96,Harry Potter and the Order of the Phoenix,DS,2007,51,4.0,E10+
97,I Spy: Fun House,DS,2007,53,0.0,E
98,Rayman Raving Rabbids 2,DS,2007,57,4.3,E10+
99,Golden Sun: Dark Dawn,DS,2010,79,8.1,E10+
100,The World Ends With You,DS,2008,88,8.6,T
101,Drawn to Life,DS,2007,73,7.4,E
102,Pokemon Dash,DS,2005,46,4.8,E
103,Personal Trainer: Walking,DS,2009,69,7.0,E
104,Tetris Party Deluxe,DS,2010,76,0.0,E
105,Metroid Prime Hunters,DS,2006,85,7.3,T
106,Final Fantasy Tactics A2: Grimoire of the Rift,DS,2008,80,8.9,E10+
107,Spectrobes,DS,2007,63,6.2,E
108,Sega Superstars Tennis,DS,2008,65,8.3,E10+
109,Harvest Moon DS: Island of Happiness,DS,2008,65,8.1,E
110,Rabbids Go Home,DS,2009,70,5.8,E10+
111,Kirby: Canvas Curse,DS,2005,86,7.4,E
112,The Sims 2: Castaway,DS,2007,66,4.6,T
113,Ace Attorney Investigations: Miles Edgeworth,DS,2010,78,8.0,T
114,FIFA Soccer 11,DS,2010,63,6.6,E
115,The Sims 2: Apartment Pets,DS,2008,50,0.0,E
116,Fossil Fighters: Champions,DS,2011,68,7.9,E
117,The Sims 3,DS,2010,73,6.1,T
118,Final Fantasy Crystal Chronicles: Ring of Fates,DS,2008,77,7.1,E10+
119,100 Classic Books,DS,2010,70,6.1,
120,LEGO Harry Potter: Years 5-7,DS,2011,69,5.2,E10+
121,Wario: Master of Disguise,DS,2007,60,6.5,E10+
122,Drawn to Life: The Next Chapter,DS,2009,72,7.5,E
123,Bolt,DS,2008,48,6.3,E10+
124,Harry Potter and the Half-Blood Prince,DS,2009,48,0.0,E10+
125,Fire Emblem: Shadow Dragon,DS,2009,81,7.3,E10+
126,Advance Wars: Days of Ruin,DS,2008,86,8.4,E10+
127,MySims Racing,DS,2009,67,0.0,E
128,The Golden Compass,DS,2007,43,5.3,E10+
129,SimCity DS,DS,2007,69,5.3,E
130,Asphalt: Urban GT,DS,2004,60,7.5,E
131,Call of Duty: Black Ops,DS,2010,74,6.4,M
132,Final Fantasy: The 4 Heroes of Light,DS,2010,71,8.6,E10+
133,Harvest Moon: The Tale of Two Towns,DS,2011,68,7.0,E
134,Purr Pals,DS,2007,67,7.2,E
135,CrossworDS,DS,2008,67,6.0,E
136,Viva Pinata: Pocket Paradise,DS,2008,82,7.3,E
137,Hotel Dusk: Room 215,DS,2007,78,8.5,T
138,Phineas and Ferb: Across the 2nd Dimension,DS,2011,47,5.6,E10+
139,Rune Factory: A Fantasy Harvest Moon,DS,2007,78,7.3,E
140,Inazuma Eleven,DS,2008,74,8.0,E10+
141,Jewel Master Egypt,DS,2009,56,0.0,E
142,WWE SmackDown vs. Raw 2010,DS,2009,75,7.8,T
143,Star Fox Command,DS,2006,76,6.5,E10+
144,Mystery Dungeon: Shiren the Wanderer,DS,2008,69,7.6,E
145,Guinness World Records: The Videogame,DS,2008,70,7.3,E10+
146,Rune Factory 2: A Fantasy Harvest Moon,DS,2008,77,7.4,E
147,SimAnimals,DS,2009,70,6.5,E
148,Spectrobes: Beyond the Portals,DS,2008,70,7.4,E10+
149,Picross DS,DS,2007,83,7.4,E
150,Rooms: The Main Building,DS,2010,56,0.0,E
151,Picross 3D,DS,2010,83,8.2,E
152,Dragon Ball Z: Supersonic Warriors 2,DS,2005,66,7.5,E10+
153,Star Wars Battlefront: Elite Squadron,DS,2009,61,5.7,T
154,FIFA Soccer 09,DS,2008,84,7.6,E
155,Crash of the Titans,DS,2007,73,6.9,E10+
156,Children of Mana,DS,2006,65,6.2,E10+
157,Clash of Elementalists,DS,2013,34,6.3,T
158,Spider-Man: Friend or Foe,DS,2007,55,7.2,E10+
159,Final Fantasy Crystal Chronicles: Echoes of Time,DS,2009,75,7.3,E10+
160,Spider-Man 3,DS,2007,79,6.9,T
161,Crayola: Treasure Adventures,DS,2007,65,0.0,E
162,Bleach: The Blade of Fate,DS,2007,83,6.3,T
163,The New York Times Crosswords,DS,2007,79,0.0,T
164,Brain Challenge,DS,2008,68,0.0,E
165,LEGO Rock Band,DS,2009,80,7.3,E10+
166,Dragon Quest Heroes: Rocket Slime,DS,2006,83,8.0,E
167,Band Hero,DS,2009,65,6.4,E10+
168,Master of Illusion,DS,2007,69,0.0,E
169,My Spanish Coach,DS,2007,73,0.0,E
170,OkamiDen,DS,2011,82,8.2,E10+
171,TouchMaster 3,DS,2009,68,0.0,E
172,Castlevania: Dawn of Sorrow,DS,2005,89,8.5,T
173,Naruto: Ninja Council 3,DS,2007,56,5.8,E10+
174,Crash: Mind Over Mutant,DS,2008,45,4.5,E10+
175,Valkyrie Profile: Covenant of the Plume,DS,2009,74,7.3,T
176,Marvel Super Hero Squad,DS,2009,61,5.3,E10+
177,Call of Duty: Modern Warfare: Mobilized,DS,2009,73,7.0,T
178,Rune Factory 3: A Fantasy Harvest Moon,DS,2010,77,8.4,E
179,Ghostbusters: The Video Game,DS,2009,55,0.0,T
180,Naruto: Path of the Ninja,DS,2007,57,5.6,E10+
181,Castlevania: Portrait of Ruin,DS,2006,85,8.4,T
182,Sherlock Holmes: The Mystery of the Mummy,DS,2009,57,4.0,E
183,Advance Wars: Dual Strike,DS,2005,90,8.5,E
184,Tamagotchi Connection: Corner Shop 3,DS,2008,57,0.0,E
185,Ghost Trick: Phantom Detective,DS,2011,83,9.5,T
186,Ice Age: Dawn of the Dinosaurs,DS,2009,54,0.0,E10+
187,Need for Speed: Nitro,DS,2009,70,6.4,E10+
188,Guitar Hero On Tour: Modern Hits,DS,2009,70,7.4,E10+
189,The Legend of Spyro: A New Beginning,DS,2006,68,5.2,E10+
190,Naruto Shippuden: Ninja Destiny 2,DS,2009,55,3.9,T
191,Elite Beat Agents,DS,2006,87,8.3,E10+
192,Castlevania: Order of Ecclesia,DS,2008,85,8.5,T
193,Dragon Ball Z: Attack of the Saiyans,DS,2009,73,8.0,E10+
194,Trauma Center: Under the Knife,DS,2005,81,7.0,T
195,Worms: Open Warfare 2,DS,2007,81,7.5,E10+
196,Mini Ninjas,DS,2009,61,8.2,E10+
197,SpongeBob SquarePants: The Yellow Avenger,DS,2005,67,6.2,E
198,SimCity Creator,DS,2008,69,6.9,E
199,Puzzle Quest: Challenge of the Warlords,DS,2007,82,6.1,E10+
200,Iron Man 2,DS,2010,54,6.4,T
201,Bejeweled 3,DS,2011,75,7.9,E
202,Mega Man ZX Advent,DS,2007,78,8.0,E10+
203,Avatar: The Last Airbender,DS,2006,64,8.1,E10+
204,Bookworm,DS,2009,71,0.0,E
205,Planet Puzzle League,DS,2007,86,7.2,E
206,Etrian Odyssey,DS,2007,75,7.9,T
207,EA Playground,DS,2007,60,2.0,E
208,The Biggest Loser,DS,2009,63,0.0,E
209,Etrian Odyssey III: The Drowned City,DS,2010,77,8.4,E10+
210,Shin Megami Tensei: Devil Survivor 2,DS,2012,79,4.7,T
211,7 Wonders II,DS,2010,60,5.2,E
212,Mega Man Zero Collection,DS,2010,78,8.3,E
213,Star Wars Episode III: Revenge of the Sith,DS,2005,73,7.8,T
214,Contra 4,DS,2007,83,7.2,T
215,Madagascar,DS,2005,66,5.8,E10+
216,Looney Tunes: Duck Amuck,DS,2007,66,7.0,E
217,Jonas,DS,2009,45,0.0,E
218,MySims Party,DS,2009,64,0.0,E
219,Shrek the Third,DS,2007,70,4.7,E10+
220,Radiant Historia,DS,2011,85,8.6,T
221,Batman: The Brave and the Bold the Videogame,DS,2010,74,8.1,E10+
222,Nicktoons: Battle for Volcano Island,DS,2006,59,7.0,E
223,Glory of Heracles,DS,2010,69,7.1,E10+
224,John Deere: Harvest in the Heartland,DS,2007,43,0.0,E
225,Trace Memory,DS,2005,70,7.5,T
226,Neopets Puzzle Adventure,DS,2008,70,0.0,E
227,Bratz: Super Babyz,DS,2008,50,0.0,E
228,Mega Man ZX,DS,2006,76,8.2,E
229,Shin Megami Tensei: Strange Journey,DS,2010,80,5.2,M
230,Over the Hedge,DS,2006,71,7.2,E
231,Pac-Pix,DS,2005,71,7.3,E
232,Beyblade: Metal Masters,DS,2011,65,5.8,E
233,Boogie,DS,2007,58,0.0,E10+
234,My Japanese Coach,DS,2008,59,6.8,E
235,Fish Tycoon,DS,2007,46,0.0,E
236,Suikoden Tierkreis,DS,2009,76,7.7,E10+
237,Shin Megami Tensei: Devil Survivor,DS,2009,84,4.9,T
238,Etrian Odyssey II: Heroes of Lagaard,DS,2008,82,7.8,E10+
239,Call of Duty: Modern Warfare 3: Defiance,DS,2011,57,1.4,T
240,Resident Evil: Deadly Silence,DS,2006,71,8.1,M
241,Nancy Drew: The Mystery of the Clue Bender Society,DS,2008,46,0.0,E10+
242,Madden NFL 2005,DS,2004,68,0.0,E
243,Polarium,DS,2005,73,6.3,E
244,Metroid Prime Pinball,DS,2005,79,7.5,E
245,Madden NFL 08,DS,2007,71,8.3,E
246,Animal Paradise,DS,2008,49,0.0,E
247,Michael Jackson: The Experience,DS,2010,64,7.5,E10+
248,Beyblade: Metal Fusion,DS,2010,36,5.0,E
249,Indiana Jones and the Staff of Kings,DS,2009,50,5.5,T
250,Final Fantasy Fables: Chocobo Tales,DS,2007,75,7.0,E
251,Luminous Arc,DS,2007,70,6.7,T
252,Juiced 2: Hot Import Nights,DS,2007,72,0.0,T
253,Cradle of Rome,DS,2008,63,0.0,E
254,Avalon Code,DS,2009,71,7.1,E10+
255,Naruto: Path of the Ninja 2,DS,2008,62,6.6,E10+
256,Sands of Destruction,DS,2010,63,8.1,T
257,Harry Potter and the Goblet of Fire,DS,2005,68,4.8,E10+
258,Meteos,DS,2005,88,7.8,E
259,Shaun White Snowboarding,DS,2008,63,0.0,T
260,Sherlock Holmes and the Mystery of Osborne House,DS,2011,48,0.0,E10+
261,Lunar Knights,DS,2007,82,7.3,E10+
262,Need For Speed: Undercover,DS,2008,59,6.6,T
263,Luminous Arc 2,DS,2008,73,8.3,T
264,Age of Empires: The Age of Kings,DS,2006,80,8.2,E10+
265,Dinosaur King,DS,2008,61,7.4,E
266,Naruto Shippuden: Ninja Council 4,DS,2009,49,4.9,E10+
267,Touch the Dead,DS,2007,56,0.0,M
268,Ragnarok DS,DS,2010,53,6.0,E10+
269,Ultimate Band,DS,2008,69,0.0,E10+
270,KORG DS-10 Synthesizer,DS,2008,82,6.9,E
271,Hasbro Family Game Night,DS,2009,57,0.0,E
272,Jewel Quest: Expeditions,DS,2007,68,0.0,E
273,Star Wars: The Force Unleashed II,DS,2010,43,5.3,T
274,Madden NFL 07,DS,2006,70,0.0,E
275,The Chronicles of Narnia: Prince Caspian,DS,2008,54,3.5,T
276,Ninja Gaiden: Dragon Sword,DS,2008,83,7.9,T
277,Age of Empires: Mythologies,DS,2008,78,7.7,E10+
278,Blue Dragon Plus,DS,2009,69,8.0,E
