,Name,Platform,Year_of_Release,Critic_Score,User_Score,Rating
471,Deep Labyrinth,DS,2006,57,0.0,E10+
472,Tropix,DS,2008,59,0.0,E10+
473,Alex Rider: Stormbreaker,DS,2006,48,4.9,T
474,The Tale of Despereaux,DS,2008,75,0.0,E
475,Jam Sessions 2,DS,2009,66,0.0,E10+
476,Prince of Persia: The Fallen King,DS,2008,64,5.2,E
477,Lost in Blue 2,DS,2007,58,7.7,E10+
478,Elite Forces: Unit 77,DS,2009,61,0.0,T
479,IL-2 Sturmovik: Birds of Prey,DS,2009,41,2.8,T
480,Crime Lab: Body of Evidence,DS,2010,53,0.0,T
481,Frogger: Helmet Chaos,DS,2005,69,0.0,E
482,My Pet Shop,DS,2009,60,0.0,E
483,Monster Tale,DS,2011,79,7.9,E
484,Bionicle Heroes,DS,2006,72,6.2,E10+
485,From The Abyss,DS,2008,59,6.6,E
486,Sudoku Ball Detective,DS,2009,54,0.0,E10+
487,Challenge Me: Brain Puzzles,DS,2009,65,0.0,E
488,Theme Park,DS,2007,72,6.2,E
489,DropCast,DS,2008,66,0.0,E
490,Arkanoid DS,DS,2008,61,8.9,E
491,Big Bang Mini,DS,2009,78,5.4,E
492,MLB Power Pros 2008,DS,2008,70,0.0,E
493,Little League World Series Baseball 2008,DS,2008,61,0.0,E
494,Showtime Championship Boxing,DS,2007,33,0.0,E10+
495,Star Trek: Tactical Assault,DS,2006,63,7.3,E
496,Theresia...,DS,2008,61,8.3,M
497,Teenage Mutant Ninja Turtles 3: Mutant Nightmare,DS,2005,58,7.3,E10+
498,Dig Dug: Digging Strike,DS,2005,65,7.1,E
499,Honeycomb Beat,DS,2007,61,0.0,E
500,Tiger Woods PGA Tour 08,DS,2007,81,0.0,E
501,Nanostray,DS,2005,71,5.6,E
502,Real Soccer 2009,DS,2009,75,0.0,E
503,X-Men: Destiny,DS,2011,33,5.6,T
504,Scurge: Hive,DS,2006,70,8.0,E10+
505,Zendoku,DS,2007,68,0.0,E
506,Dungeon Explorer: Warriors of Ancient Arts,DS,2008,60,0.0,T
507,Space Chimps,DS,2008,59,0.0,E10+
508,Izuna 2: The Unemployed Ninja Returns,DS,2008,65,8.0,T
509,History Great Empires: Rome,DS,2009,42,8.6,E10+
510,Xiaolin Showdown,DS,2006,58,0.0,E10+
511,Unsolved Crimes,DS,2008,66,0.0,T
512,Black Sigil: Blade of the Exiled,DS,2009,58,8.8,E
513,Mister Slime,DS,2008,59,0.0,E
514,Rhapsody: A Musical Adventure,DS,2008,67,7.5,E
515,Aliens in the Attic,DS,2009,58,0.0,E10+
516,Captain America: Super Soldier,DS,2011,56,0.0,T
517,Air Traffic Chaos,DS,2008,66,8.0,E
518,Ontamarama,DS,2007,71,0.0,E
519,Nanostray 2,DS,2008,75,7.4,E
520,Dokapon Journey,DS,2009,60,7.2,E10+
521,Prism: Light the Way,DS,2007,73,0.0,E
522,Tenchu: Dark Secret,DS,2006,37,6.0,T
523,Top Spin 2,DS,2006,51,0.0,E
524,The Mysterious Case of Dr. Jekyll and Mr. Hyde,DS,2011,39,0.0,T
525,Guilty Gear Dust Strikers,DS,2006,60,5.7,T
526,Secret Files: Tunguska,DS,2010,71,7.5,T
527,Spitfire Heroes: Tales of the Royal Air Force,DS,2008,49,0.0,E10+
528,Nicktoons: Attack of the Toybots,DS,2007,54,5.4,E
529,Cartoon Network Racing,DS,2006,55,0.0,E
530,Code Lyoko,DS,2007,63,7.5,E10+
531,March of the Penguins,DS,2006,34,2.0,E
532,Color Cross,DS,2010,72,0.0,E
533,Bubble Bobble Revolution,DS,2006,38,0.0,E
534,Pony Friends,DS,2007,67,0.0,E
535,Danny Phantom: Urban Jungle,DS,2006,61,0.0,E
536,Looney Tunes: Cartoon Conductor,DS,2008,67,0.0,E
537,Lux-Pain,DS,2009,48,6.6,T
538,Fantastic Four: Rise of the Silver Surfer,DS,2007,35,6.8,T
539,Front Mission,DS,2007,72,6.8,E10+
540,Shaun the Sheep,DS,2008,58,0.0,E
541,The Dark Spire,DS,2009,69,8.1,E10+
542,FIFA Street 2,DS,2006,43,0.0,E
543,Thrillville: Off the Rails,DS,2007,59,3.3,E10+
544,Lionel Trains: On Track,DS,2006,47,0.0,E
545,Super Black Bass Fishing,DS,2006,35,0.0,E
546,The Chase: Felix Meets Felicity,DS,2009,59,0.0,E
547,Brothers In Arms DS,DS,2007,72,4.9,T
548,TMNT,DS,2007,42,2.4,E10+
549,FIFA World Cup Germany 2006,DS,2006,71,5.7,E
550,Meteos: Disney Magic,DS,2007,74,0.0,E
551,Bubble Bobble Double Shot,DS,2008,50,0.0,E
552,Zoo Hospital,DS,2007,53,0.0,E
553,Pirates: Duels on the High Seas,DS,2009,50,0.0,E
554,Electroplankton,DS,2006,71,7.2,E
555,Arthur and the Invisibles,DS,2007,61,0.0,E10+
556,Flipper Critters,DS,2007,60,0.0,E
557,Underground Pool,DS,2007,40,0.0,E
558,Toy Shop,DS,2008,31,0.0,E
559,Konami Classics Series: Arcade Hits,DS,2007,76,0.0,E10+
560,Nacho Libre,DS,2006,56,6.2,E10+
561,Away: Shuffle Dungeon,DS,2008,65,6.8,E10+
562,Pet Alien: An Intergalactic Puzzlepalooza,DS,2007,58,0.0,E
563,Kung Fu Panda: Legendary Warriors,DS,2008,73,0.0,E10+
564,Turn It Around,DS,2007,39,0.0,E
565,MechAssault: Phantom War,DS,2006,66,6.0,T
566,Eco Creatures: Save The Forest,DS,2008,55,0.0,E
567,My Frogger: Toy Trials,DS,2006,66,0.0,E
568,My DoItAll,DS,2009,60,0.0,E
569,Ducati Moto,DS,2008,69,0.0,E
570,Napoleon Dynamite: The Game,DS,2007,45,0.0,E10+
571,I Heart Geeks,DS,2011,54,8.1,E
572,Moto Racer DS,DS,2010,73,0.0,E
573,Tank Beat,DS,2007,40,0.0,E10+
574,Inkheart,DS,2009,39,0.0,E
575,Freedom Wings,DS,2006,46,0.0,E10+
576,Steal Princess,DS,2009,60,0.0,E10+
577,SBK: Snowboard Kids,DS,2005,63,0.0,E
578,Commando: Steel Disaster,DS,2008,64,0.0,E10+
579,Chicken Hunter,DS,2008,39,0.0,E10+
580,Jake Hunter: Detective Chronicles,DS,2008,47,0.0,T
581,B-17: Fortress in the Sky,DS,2007,38,0.0,E10+
582,Nervous Brickdown,DS,2007,70,6.3,E
583,Rainbow Islands Revolution,DS,2006,54,0.0,E
584,Garfield Gets Real,DS,2009,39,6.8,E
585,Balls of Fury,DS,2007,62,0.0,E10+
586,NEVES,DS,2007,70,0.0,E
587,Konductra,DS,2006,60,0.0,E
588,Zoey 101: Field Trip Fiasco,DS,2007,31,0.0,E
589,Dragon Booster,DS,2005,33,0.0,E
590,DJ Star,DS,2009,66,0.0,T
591,Drone Tactics,DS,2008,74,0.0,E10+
592,Space Invaders Revolution,DS,2005,49,0.0,E
593,LifeSigns: Surgical Unit,DS,2007,61,0.0,T
594,Double Sequence: The Q-Virus Invasion,DS,2008,37,0.0,E
595,Monster Bomber,DS,2006,55,0.0,E
596,Fullmetal Alchemist: Trading Card Game,DS,2007,61,0.0,T
597,The Wild West,DS,2007,35,0.0,E10+
598,Hoshigami: Ruining Blue Earth Remix,DS,2007,55,6.3,T
599,Mega Brain Boost,DS,2008,48,0.0,E
