,Name,Platform,Year_of_Release,Critic_Score,User_Score,Rating
103,Saints Row: The Third,PC,2011,84,8.1,M
104,Dawn of Discovery,PC,2009,82,8.7,T
105,Age of Empires III,PC,2005,81,8.0,T
106,Need for Speed: Hot Pursuit,PC,2010,86,7.0,E10+
107,Rage,PC,2011,79,5.4,M
108,Need for Speed: The Run,PC,2011,69,6.3,T
109,Left 4 Dead 2,PC,2009,89,8.4,M
110,Middle-Earth: Shadow of Mordor,PC,2014,84,7.9,M
111,Football Manager 2016,PC,2015,81,7.1,E
112,Company of Heroes 2,PC,2013,80,2.2,M
113,Medal of Honor: Warfighter,PC,2012,55,5.5,M
114,The Witcher: Enhanced Edition,PC,2008,86,8.3,M
115,Dead Space 2,PC,2011,87,8.4,M
116,Batman: Arkham Asylum,PC,2009,91,8.6,T
117,World of Warcraft: Legion,PC,2016,88,7.6,
118,Fable III,PC,2011,75,5.6,M
119,Batman: Arkham Origins,PC,2013,74,7.6,T
120,The Settlers 7: Paths to a Kingdom,PC,2010,79,6.0,E10+
121,Kingdoms of Amalur: Reckoning,PC,2012,81,6.7,M
122,The Sims 2,PC,2004,90,8.5,T
123,Need for Speed: Most Wanted,PC,2012,78,4.6,E10+
124,Borderlands: The Pre-Sequel,PC,2014,75,6.5,M
125,SimCity 4,PC,2003,84,8.6,E
126,World of Tanks,PC,2011,80,3.4,T
127,FIFA 15,PC,2014,82,4.5,E
128,The Evil Within,PC,2014,68,8.0,M
129,RollerCoaster Tycoon 3,PC,2004,81,5.1,E
130,Tropico 4,PC,2011,78,7.7,T
131,The Elder Scrolls IV: Oblivion,PC,2006,94,8.4,M
132,Silent Hunter 5: Battle of the Atlantic,PC,2010,62,5.6,T
133,LEGO Star Wars III: The Clone Wars,PC,2011,76,7.7,E10+
134,Anno 2205,PC,2015,72,6.1,E10+
135,Need for Speed Rivals,PC,2013,76,3.9,E10+
136,Hitman: Absolution,PC,2012,79,7.2,M
137,Homefront,PC,2011,70,5.6,M
138,BioShock 2,PC,2010,88,8.2,M
139,Total War: Attila,PC,2015,80,7.4,T
140,Metro 2033,PC,2010,81,8.1,M
141,DC Universe Online,PC,2011,72,6.7,T
142,XCOM 2,PC,2016,88,7.3,T
143,Spec Ops: The Line,PC,2012,76,8.2,M
144,Risen 2: Dark Waters,PC,2012,69,5.8,M
145,The Sims 4: Get Together,PC,2015,72,7.1,T
146,LEGO Harry Potter: Years 5-7,PC,2011,80,7.8,E10+
147,LEGO The Lord of the Rings,PC,2012,80,7.9,E10+
148,Dead Island,PC,2011,80,6.9,M
149,Star Wars: Battlefront,PC,2015,72,3.6,T
150,Defiance,PC,2013,64,6.6,M
151,EVE Online,PC,2003,69,6.7,T
152,FIFA 16,PC,2015,81,4.6,E
153,Two Worlds II,PC,2011,75,6.4,M
154,Dying Light,PC,2015,75,8.1,M
155,Dead Space 3,PC,2013,78,6.7,M
156,Test Drive Unlimited 2,PC,2011,72,6.0,T
157,Aliens vs Predator,PC,2010,68,7.2,M
158,Mafia III,PC,2016,62,4.0,M
159,Supreme Commander 2,PC,2010,77,6.4,E10+
160,South Park: The Stick of Truth,PC,2014,85,8.6,M
161,NBA 2K11,PC,2010,82,8.8,E
162,Metro: Last Light,PC,2013,82,8.5,M
163,Evolve,PC,2015,77,4.3,M
164,F1 2011,PC,2011,83,7.3,E
165,Saints Row IV,PC,2013,86,7.4,M
166,Arcania: Gothic 4,PC,2010,63,4.0,T
167,The Lord of the Rings: War in the North,PC,2011,66,7.2,M
168,Driver: San Francisco,PC,2011,80,7.4,T
169,Call of Duty: World at War,PC,2008,83,7.8,M
170,Aliens: Colonial Marines,PC,2013,45,3.6,M
171,FIFA Soccer 11,PC,2010,83,7.6,E
172,Borderlands,PC,2009,81,7.6,M
173,Brink,PC,2011,70,6.0,T
