,Name,Platform,Year_of_Release,Critic_Score,User_Score,Rating
507,Test Drive Unlimited,PC,2007,79,8.0,E10+
508,F1 Race Stars,PC,2012,62,5.6,E
509,Left 4 Dead,PC,2008,89,8.1,M
510,Dungeon Defenders,PC,2011,81,7.3,E10+
511,Indigo Prophecy,PC,2005,85,8.4,M
512,Overlord,PC,2007,81,8.1,T
513,FIFA Soccer 09,PC,2008,77,6.7,E
514,Quake 4,PC,2005,81,7.6,M
515,Max Payne,PC,2001,89,9.0,M
516,Homeworld,PC,1999,93,8.7,E
517,Order of War,PC,2009,69,4.6,T
518,Maximum Capacity: Hotel Giant,PC,2002,59,0.0,T
519,Legend: Hand of God,PC,2008,57,5.3,M
520,Sacred 3,PC,2014,57,1.5,M
521,Pro Evolution Soccer 2017,PC,2016,69,4.1,E
522,SAW,PC,2009,55,5.7,M
523,Spider-Man 3,PC,2007,62,6.8,T
524,Spider-Man: Web of Shadows,PC,2008,52,7.7,T
525,The Lord of the Rings Online: Mines of Moria,PC,2008,85,7.3,T
526,Stormrise,PC,2009,42,5.7,M
527,Painkiller,PC,2004,81,8.2,M
528,RollerCoaster Tycoon World,PC,2016,43,2.1,
529,Lara Croft and the Temple of Osiris,PC,2014,73,5.9,T
530,Blazing Angels: Squadrons of WWII,PC,2006,65,3.3,T
531,Hellgate: London,PC,2007,70,6.9,M
532,Drakensang: The Dark Eye,PC,2009,75,8.0,T
533,Ridge Racer Unbounded,PC,2012,72,5.9,T
534,Mini Ninjas,PC,2009,74,7.7,E10+
535,Crysis: Warhead,PC,2008,84,7.9,M
536,Elven Legacy,PC,2009,71,7.1,T
537,Trapped Dead,PC,2011,50,4.6,
538,Guitar Hero III: Legends of Rock,PC,2007,79,8.3,T
539,Starship Troopers,PC,2005,46,5.7,M
540,Heroes of the Pacific,PC,2005,76,8.3,T
541,Tycoon City: New York,PC,2006,67,7.6,T
542,NHL 09,PC,2008,62,5.3,E10+
543,The Crew: Wild Run,PC,2015,74,7.2,T
544,WorldShift,PC,2009,63,7.0,T
545,Pillars of Eternity,PC,2015,89,8.2,M
546,Legendary,PC,2008,50,6.3,M
547,Uru: Ages Beyond Myst,PC,2003,79,7.0,E
548,Blood Bowl: Legendary Edition,PC,2010,73,6.3,T
549,Still Life 2,PC,2009,67,5.7,M
550,Tomb Raider: Legend,PC,2006,82,7.9,T
551,Raven Squad: Operation Hidden Dagger,PC,2009,39,2.3,T
552,East India Company,PC,2009,67,6.1,T
553,Divinity: Original Sin,PC,2014,87,8.6,M
554,Unreal Tournament 2004,PC,2004,93,8.6,M
555,Pirates of the Burning Sea,PC,2008,76,6.9,T
556,Just Cause,PC,2006,75,6.5,M
557,Disciples III: Renaissance,PC,2010,56,5.0,T
558,The Longest Journey,PC,2000,91,8.7,M
559,Lost: Via Domus,PC,2008,52,7.4,T
560,Dark Void,PC,2010,57,5.4,T
561,Stronghold Legends,PC,2006,57,7.4,T
562,Gears of War,PC,2007,87,7.4,M
563,Post Mortem,PC,2003,71,7.1,M
564,Majesty 2: The Fantasy Kingdom Sim,PC,2009,72,7.3,T
565,LEGO Star Wars II: The Original Trilogy,PC,2006,86,8.2,E10+
566,Star Trek: Legacy,PC,2006,56,4.4,E10+
567,Syberia II,PC,2004,80,8.3,T
568,Sniper Elite,PC,2005,76,7.0,M
569,Achtung Panzer: Kharkov 1943,PC,2010,70,8.0,
570,Enemy Territory: Quake Wars,PC,2007,84,7.9,T
571,Colin McRae Rally 2005,PC,2004,83,8.1,E
572,Quantum Break,PC,2016,66,5.8,M
573,FIFA Soccer 08,PC,2007,77,6.9,E
574,Evil Genius,PC,2004,75,8.3,T
575,Imperium Romanum,PC,2008,63,7.1,E10+
576,Valentino Rossi: The Game,PC,2016,72,5.8,E
577,Sengoku,PC,2011,70,6.7,T
578,Ship Simulator 2008,PC,2008,62,4.3,E
579,NBA 2K17,PC,2016,90,5.8,E
580,Guild Wars: Factions,PC,2006,84,8.5,T
581,Codename: Panzers Phase Two,PC,2005,80,8.0,T
582,The Last Remnant,PC,2009,66,7.8,M
583,Call of Juarez,PC,2007,72,7.5,M
584,Unreal Tournament 2003,PC,2002,86,7.8,M
585,Neverwinter Nights 2: Mask of the Betrayer,PC,2007,82,8.4,T
586,Rayman Raving Rabbids,PC,2006,58,6.6,E
587,War for the Overworld,PC,2015,65,7.9,
588,WRC: FIA World Rally Championship,PC,2011,65,0.0,
589,Grand Theft Auto III,PC,2002,93,8.1,M
590,The Technomancer,PC,2016,56,6.8,M
591,Football Manager Live,PC,2009,82,6.0,
592,Impossible Creatures,PC,2002,72,8.2,T
593,Serious Sam II,PC,2005,74,7.2,M
594,IL-2 Sturmovik,PC,2001,91,8.6,T
595,Theatre Of War,PC,2007,66,6.6,T
596,Homeworld Remastered Collection,PC,2015,86,8.1,E10+
597,BattleForge,PC,2009,75,8.0,T
598,Rail Simulator,PC,2008,72,5.0,E
599,Spider-Man: Friend or Foe,PC,2007,57,5.9,E10+
600,Harry Potter and the Chamber of Secrets,PC,2002,77,8.4,E
601,Marvel: Ultimate Alliance,PC,2006,82,7.7,T
602,Battle Worlds: Kronos,PC,2013,71,7.1,
603,Deus Ex,PC,2000,90,9.1,M
604,Tiger Woods PGA Tour 2005,PC,2004,91,3.7,E
605,The Chronicles of Riddick: Assault on Dark Athena,PC,2009,80,7.9,M
606,Conflict: Denied Ops,PC,2008,58,4.9,M
607,FlatOut: Ultimate Carnage,PC,2008,79,8.0,T
608,Battlestations: Midway,PC,2007,76,7.2,T
609,Cities: Skylines Snowfall,PC,2016,72,6.7,E
610,Inversion,PC,2012,59,6.8,M
611,Act of Aggression,PC,2015,71,7.1,
612,TrackMania Turbo,PC,2016,79,7.1,E
613,Ride 2,PC,2016,67,7.2,E
614,Colin McRae Rally 04,PC,2004,87,8.1,E
615,Icewind Dale II,PC,2002,83,8.3,T
616,Pro Evolution Soccer 2010,PC,2009,78,7.1,E
617,Alone in the Dark,PC,2024,67,7.3,M
618,Sega Rally Revo,PC,2007,74,7.1,E
619,Transformers: Fall of Cybertron,PC,2012,78,8.0,T
620,Legacy of Kain: Defiance,PC,2003,70,8.6,M
621,Trine,PC,2009,80,7.9,E10+
622,Hospital Tycoon,PC,2007,51,5.0,E10+
623,STORM: Frontline Nation,PC,2011,60,8.0,
624,15 Days,PC,2015,63,4.8,
